player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0034406,Deon Cain,23,6,11,74,202,2019,,0.45,20,6.20,0.00,11.35,1.10,0.35,0,0,0,0,0,0.058823529411764705,0.08993660855784469,0.019451812555260833,0.1601845809639228,0,0.06363636363636363,0.0546875,0.027300748568912372,0.0436811977102598,0.36470588235294116,0.025007595765068828,1.95,,,0
00-0034407,Ray-Ray McCloud,22,6,13,70,180,2018,,0.83,6,6.00,0.00,2.17,4.67,0.33,2,2.00,0.00,0.00,-0.49,0.028169014084507043,0.007336343115124154,0.039603960396039604,0.048122595618859884,0,0.03333333333333333,0.030303030303030304,0.013313609467455622,0.021301775147928997,0.16901408450704225,0.018626598783062213,1.50,,,0
00-0034407,Ray-Ray McCloud,24,6,13,70,180,2020,2021,0.91,22,3.50,0.00,-1.50,4.77,0.14,4,16.25,0.00,0.25,0.76,0.04772234273318872,-0.010036496350364963,0.07473309608540925,0.06355431701949112,0,0.022058823529411766,0.018867924528301886,0.01363314447592068,0.02181303116147309,0.16702819956616052,0.03283221012614481,3.11,4.87,0.57,0
00-0034407,Ray-Ray McCloud,25,6,13,70,180,2021,,0.59,66,4.20,0.00,6.38,1.76,0.26,2,7.50,0.00,0.00,0.02,0.11978221415607986,0.11875881523272215,0.0675990675990676,0.2746803734202975,0,0.10179640718562874,0.09090909090909091,0.04234179150107001,0.06774686640171201,0.5027223230490018,0.05741997406839881,4.87,,,0
00-0034411,Russell Gage,22,6,20,72,184,2018,2019,0.60,10,6.30,0.00,10.50,1.90,0.20,0,0,0,0,0,0.05714285714285714,0.06457564575645756,0.03531598513011153,0.13737480231945176,0,0.030303030303030304,0.02564102564102564,0.02352501867064974,0.037640029873039584,0.36,0.024518598253797392,2.46,7.20,1.93,0
00-0034411,Russell Gage,23,6,20,72,184,2019,2020,0.66,74,6.03,0.01,7.09,2.04,0.34,4,3.00,0.00,0.00,-0.28,0.12395309882747069,0.1099476439790576,0.09246785058175137,0.2738877634244521,0.038461538461538464,0.11160714285714286,0.104,0.07051871771282994,0.08975302526360485,0.7470686767169179,0.07115026257835,7.20,11.32,0.57,0
00-0034411,Russell Gage,24,6,20,72,184,2020,2021,0.66,109,7.21,0.04,8.50,2.58,0.46,2,4.50,0.00,0.50,-0.10,0.1735668789808917,0.17112793058888684,0.17092457420924576,0.397252662942447,0.14814814814814814,0.205761316872428,0.2,0.15913900913900914,0.16573352573352573,1.2515923566878981,0.11880577427821523,11.32,12.54,0.11,0
00-0034411,Russell Gage,25,6,20,72,184,2021,,0.70,94,8.19,0.04,9.32,2.64,0.39,0,0,0,0,0,0.22274881516587677,0.29141716566866266,0.19180201082753287,0.5672569552837453,0.36363636363636365,0.26618705035971224,0.2733333333333333,0.31131700455615696,0.27992538910803294,1.8246445497630333,0.1757374504053821,12.54,,,0
00-0034418,Cedrick Wilson,24,6,34,74,200,2019,2020,0.63,8,5.75,0.00,16.75,1.38,0.25,0,0,0,0,0,0.06611570247933884,0.10576164167324388,0.040740740740740744,0.18378286705760338,0,0.045454545454545456,0.0425531914893617,0.026806526806526808,0.042890442890442894,0.38016528925619836,0.031712473572938694,3.20,6.45,1.02,0
00-0034418,Cedrick Wilson,25,6,34,74,200,2020,2021,0.61,28,6.75,0.07,8.71,4.04,0.36,3,-4.00,0.00,0.00,-1.92,0.06542056074766354,0.08007876599934362,0.08862745098039215,0.1621938539209702,0.125,0.0684931506849315,0.07407407407407407,0.09584509527170078,0.07835215243472124,0.441588785046729,0.05361111688095881,6.45,9.85,0.53,0
00-0034418,Cedrick Wilson,26,6,34,74,200,2021,,0.74,61,9.87,0.10,9.52,4.26,0.44,2,5.50,0.00,0.50,0.99,0.11401869158878504,0.133716915995397,0.1371308016877637,0.27800157017949517,0.16666666666666666,0.12857142857142856,0.13414634146341464,0.15515390121689332,0.14824624194702934,1.125233644859813,0.09622820836642493,9.85,,,0
00-0034419,Braxton Berrios,24,6,36,69,190,2019,2020,0.46,13,8.85,0.00,8.23,6.69,0.23,0,0,0,0,0,0.06403940886699508,0.05768194070080863,0.14871794871794872,0.14220466586113953,0,0.04918032786885246,0.045454545454545456,0.04763877381938691,0.07622203811101906,0.5665024630541872,0.04660700969425802,2.92,7.48,1.56,0
00-0034419,Braxton Berrios,25,6,36,69,190,2020,2021,0.67,55,7.16,0.05,7.56,3.93,0.35,3,9.67,0.00,0.33,0.45,0.13513513513513514,0.12652068126520682,0.1722488038277512,0.30391924771486817,0.23076923076923078,0.15447154471544716,0.16176470588235295,0.1942477058569933,0.1723347909096508,0.9680589680589681,0.11100716469675535,7.48,8.07,0.08,0
00-0034419,Braxton Berrios,26,6,36,69,190,2021,,0.71,65,6.63,0.03,5.11,4.06,0.34,7,5.71,0.29,0.43,0.72,0.12014787430683918,0.08396560445118867,0.14537444933920704,0.24739429502120974,0.1111111111111111,0.12290502793296089,0.1218274111675127,0.11510239169813638,0.11749716005035155,0.7966728280961183,0.09972331104450079,8.07,,,0
00-0034426,Javon Wims,24,7,6,76,215,2018,2019,0.80,5,6.40,0.00,6.80,0.40,0.40,0,0,0,0,0,0.09615384615384616,0.06759443339960239,0.010869565217391304,0.19830631595045117,0,0.09090909090909091,0.07142857142857142,0.030947775628626693,0.049516441005802714,0.6153846153846154,0.032406157169862275,3.60,3.87,0.08,0
00-0034426,Javon Wims,25,7,6,76,215,2019,2020,0.46,39,4.77,0.03,11.56,1.15,0.23,0,0,0,0,0,0.09263657957244656,0.14855072463768115,0.0389948006932409,0.2577954490688148,0.0625,0.06569343065693431,0.06535947712418301,0.06746495327102803,0.07044392523364486,0.4418052256532066,0.04760202029231663,3.87,1.89,-0.51,0
00-0034426,Javon Wims,26,7,6,76,215,2020,,0.50,12,4.00,0.08,14.75,0.33,0.33,1,2.00,0.00,0.00,-0.34,0.03680981595092025,0.06606942889137737,0.003838771593090211,0.10807026703948228,0.0625,0.034782608695652174,0.03816793893129771,0.04182734684883208,0.029423754958131335,0.147239263803681,0.020331037122081896,1.89,,,0
00-0034487,Trent Sherfield,22,8,32,73,205,2018,2019,0.68,28,7.50,0.04,11.25,1.36,0.39,0,0,0,0,0,0.13526570048309178,0.17578125,0.07196969696969698,0.3435235507246377,0.14285714285714285,0.18333333333333332,0.1791044776119403,0.15863787375415284,0.1681063122923588,1.0144927536231885,0.10590293765540104,6.57,1.71,-0.74,0
00-0034487,Trent Sherfield,23,8,32,73,205,2019,2020,0.31,13,6.15,0.00,15.92,0.77,0.31,0,0,0,0,0,0.05327868852459016,0.1077003121748179,0.012658227848101266,0.16607828252673956,0,0.05,0.045454545454545456,0.02379535990481856,0.0380725758477097,0.32786885245901637,0.02017349203147065,1.71,5.00,1.92,0
00-0034487,Trent Sherfield,24,8,32,73,205,2020,2021,0.71,7,7.14,0.00,11.71,3.86,0.29,0,0,0,0,0,0.109375,0.1493624772313297,0.09121621621621621,0.28355248178506376,0,0.07407407407407407,0.06896551724137931,0.043706293706293704,0.06993006993006994,0.78125,0.05631264782070053,5.00,2.37,-0.53,0
00-0034487,Trent Sherfield,25,8,32,73,205,2021,,0.45,20,4.35,0.05,8.70,1.15,0.35,0,0,0,0,0,0.07692307692307693,0.08592592592592592,0.018806214227309895,0.18412535612535613,0.06666666666666667,0.06862745098039216,0.06837606837606838,0.05173434856175973,0.04277495769881557,0.3346153846153846,0.028614203269504743,2.37,,,0
00-0034489,Jalen Tolliver,23,8,32,75,210,2018,,0.50,6,6.17,0.00,13.83,2.33,0.50,0,0,0,0,0,0.05555555555555555,0.09399773499433749,0.05090909090909091,0.15853152132880333,0,0.09090909090909091,0.08571428571428572,0.027819548872180452,0.044511278195488724,0.3425925925925926,0.03339980059820538,2.23,,,0
00-0034499,Jawill Davis,23,8,32,73,191,2018,,0.50,8,5.00,0.00,15.88,0.50,0.38,0,0,0,0,0,0.06451612903225806,0.12426614481409001,0.009950248756218905,0.1961871093996591,0,0.07894736842105263,0.07317073170731707,0.022396416573348264,0.03583426651735722,0.3225806451612903,0.03233368361490582,2.67,,,0
00-0034510,Robert Foster,24,8,32,74,196,2018,2019,0.61,44,12.30,0.07,20.59,3.80,0.45,0,0,0,0,0,0.1337386018237082,0.24526258798050893,0.17341640706126688,0.39681797311996947,0.23076923076923078,0.21739130434782608,0.21904761904761905,0.23952412892293573,0.24477706781515868,1.6443768996960486,0.1246290054831732,9.01,1.23,-0.86,0
00-0034510,Robert Foster,25,8,32,74,196,2019,2020,0.17,18,3.56,0.00,25.06,1.78,0.17,2,14.50,0.00,0.50,0.91,0.056962025316455694,0.15397746671218845,0.03382663847780127,0.2086250113444343,0,0.030927835051546393,0.027522935779816515,0.015051740357478834,0.024082784571966137,0.20253164556962025,0.015966975621154296,1.23,1.90,0.54,0
00-0034510,Robert Foster,26,8,32,74,196,2020,,0.33,6,6.17,0.00,14.00,5.33,0.33,0,0,0,0,0,0.04477611940298507,0.07962085308056872,0.08648648648648649,0.1308608615689326,0,0.06060606060606061,0.05714285714285714,0.026657060518731988,0.04265129682997118,0.27611940298507465,0.02600839569264464,1.90,,,0
00-0034512,Cam Phillips,23,8,32,72,201,2018,,1.00,1,9.00,0.00,2.00,7.00,0.00,0,0,0,0,0,0.024390243902439025,0.004819277108433735,0.04964539007092199,0.04044078754040553,0,0,0,0,0,0.21951219512195122,0.027769657994738378,1.90,,,0
00-0034521,Allen Lazard,23,8,32,77,227,2018,2019,1.00,1,7.00,0.00,7.00,0.00,0.00,0,0,0,0,0,0.025,0.01728395061728395,0,0.05132716049382716,0,0,0,0,0,0.175,0.03888380603842635,1.70,8.57,4.04,0
00-0034521,Allen Lazard,24,8,32,77,227,2019,2020,0.67,52,9.17,0.06,14.15,2.52,0.46,1,21.00,0.00,1.00,1.33,0.13231552162849872,0.2055291817927953,0.09404163675520459,0.36289662787698435,0.15,0.18181818181818182,0.17763157894736842,0.16300738007380072,0.1708118081180812,1.213740458015267,0.10184267881910046,8.57,8.15,-0.05,0
00-0034521,Allen Lazard,25,8,32,77,227,2020,2021,0.72,46,9.80,0.07,9.96,4.24,0.50,2,8.50,0.00,0.50,0.20,0.14465408805031446,0.1800314465408805,0.14617691154422788,0.36100628930817613,0.0967741935483871,0.17164179104477612,0.15757575757575756,0.13485182070057392,0.157698396991886,1.4182389937106918,0.08646297475068958,8.15,9.50,0.17,0
00-0034521,Allen Lazard,26,8,32,77,227,2021,,0.67,60,8.55,0.13,10.88,2.80,0.47,3,10.67,0.00,0.67,0.92,0.12096774193548387,0.16795267489711935,0.08668730650154799,0.3158137528209213,0.27586206896551724,0.14507772020725387,0.16216216216216217,0.20721790644386073,0.16603140893086682,1.034274193548387,0.10594165402801321,9.50,,,0
