player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0027718,Garrett Graham,25,4,20,75,243,2011,2012,0.50,2,12.00,0.00,8.00,4.00,0.50,0,,,,,0.024096385542168676,0.025039123630672927,0.025236593059936908,0.05617587721779136,0,0.037037037037037035,0.03333333333333333,0.017804154302670624,0.028486646884273,0.2891566265060241,0.017656834233485668,1.70,4.52,1.66,1
00-0027718,Garrett Graham,26,4,20,75,243,2012,2013,0.70,40,6.58,0.08,5.85,2.90,0.40,0,,,,,0.08213552361396304,0.05957230142566192,0.07537361923326835,0.1708611265614741,0.14285714285714285,0.08888888888888889,0.0945273631840796,0.1086490639278638,0.08812421657029638,0.5400410677618069,0.056412977325572315,4.52,10.96,1.42,1
00-0027718,Garrett Graham,27,4,20,75,243,2013,2014,0.55,89,6.12,0.06,8.02,2.44,0.29,0,,,,,0.18052738336713997,0.1776561333665091,0.15967623252391464,0.4129159817439173,0.2777777777777778,0.16049382716049382,0.17222222222222222,0.21866055165235493,0.18319021597710122,1.105476673427992,0.12094845664250763,10.96,4.37,-0.60,0
00-0027718,Garrett Graham,28,4,20,75,243,2014,2015,0.64,28,7.04,0.04,6.32,2.25,0.36,0,,,,,0.09090909090909091,0.069113627489262,0.0707070707070707,0.19165453835504595,0.08333333333333333,0.09174311926605505,0.09090909090909091,0.08718422674060382,0.08949476278496611,0.6396103896103896,0.05708985446659525,4.37,1.86,-0.57,0
00-0027718,Garrett Graham,29,4,20,75,243,2015,,0.21,19,1.58,0.05,10.84,0.47,0.05,0,,,,,0.05828220858895705,0.06655896607431341,0.014018691588785047,0.14067048574288632,0.07692307692307693,0.009174311926605505,0.01639344262295082,0.04575016819914779,0.02704642296479031,0.09202453987730061,0.019463408791472035,1.86,,,0
00-0027725,Clay Harbor,23,4,27,75,240,2010,2011,0.60,15,4.80,0.07,8.87,1.53,0.20,0,,,,,0.07653061224489796,0.0704449152542373,0.04389312977099236,0.17115185057073679,0.14285714285714285,0.05,0.05970149253731343,0.10004542357483534,0.07435839200545083,0.3673469387755102,0.05034926970879071,4.44,2.72,-0.39,0
00-0027725,Clay Harbor,24,4,27,75,240,2011,2012,0.68,19,8.58,0.05,9.74,2.11,0.42,0,,,,,0.04194260485651214,0.0417607223476298,0.02824858757062147,0.09632248516287206,0.058823529411764705,0.048484848484848485,0.04945054945054945,0.052447378046752896,0.04862168722774582,0.3598233995584989,0.03072718093347957,2.72,4.87,0.79,1
00-0027725,Clay Harbor,25,4,27,75,240,2012,2013,0.64,39,4.77,0.05,7.21,1.77,0.21,0,,,,,0.08863636363636364,0.07085224407463439,0.05153099327856609,0.18963634071425298,0.13333333333333333,0.057971014492753624,0.06535947712418301,0.09774955436720142,0.07639928698752228,0.42272727272727273,0.05657708628005658,4.87,4.51,-0.07,0
00-0027725,Clay Harbor,26,4,27,75,240,2013,2014,0.69,35,8.34,0.06,7.91,3.63,0.46,0,,,,,0.06628787878787878,0.0806874453830469,0.06913445835601524,0.16398177448825568,0.15384615384615385,0.10191082802547771,0.10588235294117647,0.1212326368623789,0.10166452667211394,0.553030303030303,0.06335204490777867,4.51,6.77,0.50,1
00-0027725,Clay Harbor,27,4,27,75,240,2014,2015,0.74,35,8.26,0.03,6.00,5.11,0.34,0,,,,,0.10835913312693499,0.08951406649616368,0.168075117370892,0.23414995288733342,0.125,0.12631578947368421,0.1262135922330097,0.13361220472440943,0.13877952755905512,0.8947368421052632,0.0896801555045061,6.77,4.61,-0.32,0
00-0027725,Clay Harbor,28,4,27,75,240,2015,2016,0.70,20,7.45,0.05,5.85,2.80,0.45,0,,,,,0.06666666666666667,0.045972495088408644,0.052930056710775046,0.13677799607072694,0.07142857142857142,0.08571428571428572,0.08403361344537816,0.07034933917779106,0.06970179982732284,0.49666666666666665,0.05387333197068356,4.61,2.45,-0.47,0
00-0027725,Clay Harbor,29,4,27,75,240,2016,,1.00,3,6.33,0.00,1.33,5.00,0.33,0,,,,,0.05,0.0106951871657754,0.04918032786885246,0.08355614973262034,0,0.04,0.03333333333333333,0.017723880597014924,0.028358208955223882,0.31666666666666665,0.025824812901865713,2.45,,,0
00-0027732,Michael Hoomanawanui,22,5,1,76,265,2010,2011,0.59,22,6.64,0.14,4.09,4.68,0.41,0,,,,,0.0830188679245283,0.05073280721533258,0.14405594405594405,0.16511454765905853,0.25,0.10975609756097561,0.1276595744680851,0.1717948717948718,0.12487179487179488,0.5509433962264151,0.0778555574526208,6.51,2.55,-0.61,0
