player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0036875,Rhamondre Stevenson,23,4,15,72,229,2021,,0.78,18,6.83,0.00,-0.28,8.06,0.17,133,4.56,0.04,0.25,0.05,0.00,0.11544585987261147,0.07813315839503032,0,0.0234375,0.02054794520547945,0.022234273318872018,0.03557483731019523,0.36283185840707965,0.10997951643471103,8.84,,,0
00-0036893,Najee Harris,23,1,24,74,230,2021,,0.79,94,4.97,0.03,-0.14,5.31,0.23,307,3.91,0.02,0.20,0.14,0.00,0.24294060370009737,0.20999911510448577,0.13043478260869565,0.10784313725490197,0.11013215859030837,0.12334534749055644,0.11909168641967292,0.7033132530120482,0.2130086138501643,16.71,,,0
00-0036906,Khalil Herbert,23,6,33,69,212,2021,,0.88,16,6.00,0.00,-0.31,6.31,0.38,103,4.20,0.02,0.23,0.03,0.00,0.07058001397624039,0.05141091194659011,0,0.0379746835443038,0.03468208092485549,0.014837712519319939,0.023740340030911904,0.2096069868995633,0.07144150670047085,6.07,,,0
00-0036919,Kenneth Gainwell,22,5,6,71,191,2021,,0.66,50,5.06,0.02,1.86,4.52,0.28,68,4.28,0.07,0.28,0.11,0.02,0.13814180929095354,0.17804517314965457,0.05,0.0875,0.08333333333333333,0.06179464805119256,0.0688714368819081,0.5382978723404256,0.09204696334531784,9.49,,,0
00-0036924,Michael Carter,22,4,2,70,199,2021,,0.65,55,5.91,0.00,0.60,6.20,0.31,147,4.35,0.03,0.20,0.11,0.01,0.2035820895522388,0.17259738304023406,0,0.10303030303030303,0.09289617486338798,0.04799173065564087,0.0767867690490254,0.6513026052104208,0.13745949218332681,11.03,,,0
00-0036984,Trey Sermon,22,3,24,73,215,2021,,0.75,4,6.50,0.00,2.50,4.50,0.25,41,4.07,0.02,0.22,0.02,0.01,0.031746031746031744,0.04409171075837742,0,0.017857142857142856,0.015625,0.011443661971830986,0.018309859154929577,0.16049382716049382,0.06596121573746037,5.66,,,0
00-0036997,Javonte Williams,21,2,3,70,220,2021,,0.81,53,5.96,0.06,-0.23,6.47,0.23,203,4.45,0.02,0.26,0.10,0.00,0.1978085351787774,0.14484575221977583,0.15,0.0670391061452514,0.07537688442211055,0.11597510373443984,0.09556016597510374,0.5841035120147874,0.15018250582699327,12.05,,,0
00-0027976,Ryan Williams,22,2,6,76,215,2012,,0.70,10,4.40,0.00,1.00,3.50,0.30,58,2.83,0.00,0.12,0.05,0.01,0.0720164609053498,0.08673878970908674,0,0.047619047619047616,0.04285714285714286,0.018487394957983194,0.02957983193277311,0.23783783783783785,0.06341593391953104,4.76,,,0
00-0027995,Mikel Leshoure,22,2,25,72,233,2012,2013,0.71,48,4.46,0.00,0.04,4.81,0.23,215,3.71,0.04,0.21,0.07,0.00,0.12883435582822086,0.10936246374128247,0,0.04602510460251046,0.04247104247104247,0.023495827843653932,0.03759332454984629,0.3242424242424242,0.12916325897515438,13.09,0.90,-0.93,0
00-0027995,Mikel Leshoure,23,2,25,72,233,2013,,0,0,0,0,0,0,0,2,4.50,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.008217677136596055,0.90,,,0
00-0028000,Daniel Thomas,24,2,30,73,235,2011,2012,0.75,16,4.50,0.06,1.31,4.00,0.31,165,3.52,0.00,0.15,0.04,0.01,0.07095343680709534,0.06987500150673208,0.05555555555555555,0.03816793893129771,0.040268456375838924,0.041225667206242475,0.03262773419665463,0.1956521739130435,0.08603356684797563,6.25,6.93,0.11,0
00-0028000,Daniel Thomas,25,2,30,73,235,2012,2013,0.68,22,7.09,0.00,0.55,6.55,0.23,91,3.57,0.04,0.16,0.06,0.00,0.1470888661899898,0.08845010788584456,0,0.04132231404958678,0.03875968992248062,0.029158878504672896,0.046654205607476636,0.4051948051948052,0.09835483489170316,6.93,6.53,-0.06,0
00-0028000,Daniel Thomas,26,2,30,73,235,2013,2014,0.88,17,3.71,0.12,-1.41,4.94,0.35,109,3.72,0.04,0.16,0.03,0.00,0.0608254887762491,0.042709391423956855,0.09090909090909091,0.032432432432432434,0.03864734299516908,0.0541202951106665,0.03204701763161186,0.11433756805807622,0.08244904834091292,6.53,4.90,-0.25,0
